0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,b,b,b,b,b,0,0,0,0,0,0,b,b,b,b,b,0,0,0
0,0,0,b,0,0,0,b,0,0,0,0,0,0,b,0,0,0,b,0,0,0
0,0,0,b,0,e2,0,b,w,w,w,w,w,w,b,0,e1,0,b,0,0,0
0,0,0,b,0,0,0,b,0,0,0,0,0,0,b,0,0,0,b,0,0,0
0,0,0,b,b,b,b,b,0,0,0,0,0,0,b,b,b,b,b,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,w,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,w,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,p2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,w,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,w,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,b,b,b,b,b,0,0,0,0,0,0,b,b,b,b,b,0,0,0
0,0,0,b,0,0,0,b,0,0,0,0,0,0,b,0,0,0,b,0,0,0
0,0,0,b,0,e1,0,b,w,w,w,w,w,w,b,0,e2,0,b,0,0,0
0,0,0,b,0,0,0,b,0,0,0,0,0,0,b,0,0,0,b,0,0,0
0,0,0,b,b,b,b,b,0,0,0,0,0,0,b,b,b,b,b,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l
